Owner,Quotes
Eric Thomas,"1. When you want to succeed as bad as you want to breathe, then you’ll be successful."
Tim Notke,2. Hard work beats talent when talent doesn’t work hard.
Vince Lombardi,"3. A man can be as great as he wants to be. If you believe in yourself and have the courage, the determination, the dedication, the competitive drive and if you are willing to sacrifice the little things in life and pay the price for the things that are worthwhile, it can be done."
Spryte Loriano,"4. Every great story on the planet happened when someone decided not to give up, but kept going no matter what."
Unknown,5. Don’t stop when you’re tired. STOP when you are
Og Mandino,6. Failure will never overtake me if my determination to succeed is strong enough.
Conrad Hilton,"7. Success… seems to be connected with action. Successful people keep moving. They make mistakes, but they don’t quit."
W. Clement Stone,"8. Aim for the moon. If you miss, you may hit a star. W."
Pablo Picasso,9. Action is the foundational key to all success.
Unknown,"10. The ones who are crazy enough to think they can change the world, are the ones who"
Jim Rohn,"11. Successful people do what unsuccessful people are not willing to do. Don’t wish it were easier, wish you were better."
Ayn Rand,12. The question isn’t who is going to let me; it’s who is going to stop me.
Confucius,"13. It does not matter how slowly you go, so long as you do not"
Washington Irving,14. Little minds are tamed and subdued by misfortune; but great minds rise above it.
Thomas Jefferson,"15. I find that the harder I work, the more luck I seem to have."
Mark Twain,"16. Twenty years from now you will be more disappointed by the things that you didn’t do than by the ones you did do, so throw off the bowlines, sail away from safe harbor, catch the trade winds in your sails. Explore, Dream, Discover."
Zig Ziglar,"17. You don’t have to be great to start, but you have to start to be great."
Audrey Hepburn,"18. Nothing is impossible, the word itself says “I’m possible”!"
Neale Donald Walsh,19. Life begins at the end of your comfort zone. Neale
Confucius,"20. The will to win, the desire to succeed, the urge to reach your full potential… these are the keys that will unlock the door to personal"
John Wooden,21. Things work out best for those who make the best of how things work out.
Vince Lombardi,"22. Perfection is not attainable, but if we chase perfection we can catch excellence."
J.C. Penny,"23. Give me a stock clerk with a goal, and I will give you a man who will make history. Give me a man without a goal, and I will give you a stock clerk."
Unknown,24. Nothing in the world is more common than unsuccessful people with
Dale Carnegie,25. Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to be no help at all.
Alfred A. Montapert,26. Expect problems and eat them for breakfast. Alfred
Winston Churchill,27. Success is walking from failure to failure with no loss of enthusiasm.
Chris Grosser,"28. Opportunities don’t happen, you create them."
Greg Evans,29. I do not have superior intelligence or faultless looks. I do not captivate a room or run a mile under six minutes. I only succeeded because I was still working after everyone else went to sleep.
Walter Bagehot,30. The greatest pleasure in life is doing what people say you cannot do.
Mark Twain,31. The secret of getting ahead is getting started.
Dalai Lama,32. Remember that not getting what you want is sometimes a wonderful stroke of luck.
Henry Ford,"33. The whole secret of a successful life is to find out what is one’s destiny to do, and then do it."
Walt Disney,34. All our dreams can come true if we have the courage to pursue them.
Ray Goforth,35. There are two types of people who will tell you that you cannot make a difference in this world: those who are afraid to try and those who are afraid you will succeed.
Unknown,36. What’s the point of being alive if you don’t at least try to do something
Sam Levenson,37. Don’t watch the clock; do what it does. Keep going.
Marianne Williamson,"38. Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, Who am I to be brilliant, gorgeous, talented, fabulous? Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won’t feel insecure around you. We are all meant to shine, as children do."
Thomas A. Edison,"39. I have not failed. I’ve just found 10,000 ways that won’t work. Thomas"
Trina Paulus,40. How does one become a butterfly? You must want to fly so much that you are willing to give up being a caterpillar.
Swami Vivekananda,"41. Take up one idea. Make that one idea your life—think of it, dream of it, live on that idea. Let the brain, muscles, nerves, every part of your body, be full of that idea, and just leave every other idea alone. This is the way to success."
Jimmy Dean,"42. I can’t change the direction of the wind, but I can adjust my sails to always reach my destination."
Henry Ford,43. Failure is the opportunity to begin again more intelligently.
Michael Phelps,"44. There will be obstacles. There will be doubters. There will be mistakes. But with hard work, there are no limits."
Charles De Gaulle,"45. Nothing great will ever be achieved without great men, and men are great only if they are determined to be so. For glory gives herself only to those who have always dreamed of her. Charles"
Will Smith,"46. You got a dream, you gotta protect it. People can’t do something themselves, they wanna tell you, you can’t do it. If you want something, go get it. Period."
Bruce Lee,"47. The successful warrior is the average man, with laser-like focus."
Stephen R. Covey,"48. Motivation is a fire from within. If someone else tries to light that fire under you, chances are it will burn very briefly. Stephen"
Thomas A. Edison,49. Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time. Thomas
Les Brown,50. Too many of us are not living our dreams because we are living our fears.
Helen Keller,"51. Security is mostly a superstition. It does not exist in nature, nor do the children of men as a whole experience it. Avoiding danger is no safer in the long run than outright exposure. Life is either a daring adventure, or nothing."
Wayne Dyer,"52. Be miserable. Or motivate yourself. Whatever has to be done, it’s always your choice."
Kresley Cole,53. Nothing great ever came that easy.
Francis Chan,54. Our greatest fear should not be of failure but of succeeding at things in life that don’t really matter.
David Brinkley,55. A successful man is one who can lay a firm foundation with the bricks others have thrown at him.
Napoleon Hill,"56. The greatest achievement was at first, and for a time, but a dream."
Unknown,"57. Good things come to people who wait, but better things come to those who go out and get"
Unknown,58. Great things come to those who don’t
Peter Drucker,59. The best way to predict the future is to create it.
